itemset support
"ASCEN_2 ==> CATL_1" " 1203841 #CONF: 1.0"
"COUPLE_1 ==> ASCEN_2" " 603338 #CONF: 0.8685008687340666"
"GARL_1 ==> ASCEN_2" " 857302 #CONF: 0.8699864017373303"
"ASCEN_2 ==> INAT_11" " 1075859 #CONF: 0.8936886183474396"
"NBPI_5 ==> ASCEN_2" " 321517 #CONF: 0.9211333782177084"
"ASCEN_2 ==> SANI_2" " 1169411 #CONF: 0.9713998775585813"
"STOCD_10 ==> ASCEN_2" " 743455 #CONF: 0.9315988381563878"
"SURF_7 ==> ASCEN_2" " 303980 #CONF: 0.9749166936603796"
"CMBL_2 ==> CATL_1" " 667604 #CONF: 1.0"
"COUPLE_1 ==> CATL_1" " 691085 #CONF: 0.9948120669824915"
"COUPLE_2 ==> CATL_1" " 753209 #CONF: 0.9658135330247349"
"CS1_7 ==> CATL_1" " 301118 #CONF: 0.9646734690608532"
"CS1_8 ==> CATL_1" " 469298 #CONF: 0.9726947885058614"
"DIPL_15_A ==> CATL_1" " 379117 #CONF: 0.959214344810835"
"DIPL_15_B ==> CATL_1" " 307210 #CONF: 0.986725251571418"
"DIPL_15_D ==> CATL_1" " 303906 #CONF: 0.989731615096773"
"GARL_1 ==> CATL_1" " 985420 #CONF: 1.0"
"GARL_2 ==> CATL_1" " 458874 #CONF: 1.0"
"INAT_11 ==> CATL_1" " 1267347 #CONF: 0.9798440874056858"
"CATL_1 ==> INAT_11" " 1267347 #CONF: 0.8774854704097642"
"MODV_11 ==> CATL_1" " 302517 #CONF: 1.0"
"MODV_32 ==> CATL_1" " 330712 #CONF: 1.0"
"NA38_ZZ ==> CATL_1" " 863546 #CONF: 0.9721234390285363"
"NBPI_4 ==> CATL_1" " 369621 #CONF: 1.0"
"NBPI_5 ==> CATL_1" " 349045 #CONF: 1.0"
"NPERR_2 ==> CATL_1" " 430122 #CONF: 1.0"
"SANI_2 ==> CATL_1" " 1400247 #CONF: 1.0"
"CATL_1 ==> SANI_2" " 1400247 #CONF: 0.9695027466706917"
"SEXE_1 ==> CATL_1" " 699291 #CONF: 0.9782044897548092"
"SEXE_2 ==> CATL_1" " 745003 #CONF: 0.9806709868669596"
"STOCD_10 ==> CATL_1" " 798042 #CONF: 1.0"
"STOCD_21 ==> CATL_1" " 315680 #CONF: 1.0"
"SURF_5 ==> CATL_1" " 364384 #CONF: 1.0"
"SURF_7 ==> CATL_1" " 311801 #CONF: 1.0"
"TACT_11 ==> CATL_1" " 580748 #CONF: 0.9906149253731343"
"TACT_21 ==> CATL_1" " 302998 #CONF: 0.964227864778083"
"CMBL_2 ==> INAT_11" " 575560 #CONF: 0.862127848245367"
"CMBL_2 ==> SANI_2" " 647846 #CONF: 0.9704046111167698"
"COUPLE_1 ==> INAT_11" " 591511 #CONF: 0.851475984217398"
"MODV_32 ==> COUPLE_1" " 328805 #CONF: 0.9942336534507366"
"COUPLE_1 ==> SANI_2" " 673290 #CONF: 0.9691962878352759"
"CS1_8 ==> COUPLE_2" " 413249 #CONF: 0.856524316437016"
"COUPLE_2 ==> INAT_11" " 701906 #CONF: 0.9000294920948363"
"MODV_11 ==> COUPLE_2" " 302022 #CONF: 0.9983637283194002"
"COUPLE_2 ==> SANI_2" " 726957 #CONF: 0.9321515124315591"
"CS1_7 ==> NA38_ZZ" " 312145 #CONF: 1.0"
"TACT_21 ==> CS1_7" " 312145 #CONF: 0.9933362822564991"
"CS1_7 ==> TACT_21" " 312145 #CONF: 1.0"
"CS1_8 ==> INAT_11" " 417820 #CONF: 0.8659984413603277"
"CS1_8 ==> NA38_ZZ" " 482472 #CONF: 1.0"
"CS1_8 ==> SANI_2" " 452550 #CONF: 0.9379818932497637"
"DIPL_15_A ==> SANI_2" " 364077 #CONF: 0.9211612273142443"
"DIPL_15_B ==> SANI_2" " 297995 #CONF: 0.9571276694834957"
"DIPL_15_D ==> SANI_2" " 297562 #CONF: 0.9690710905721702"
"GARL_1 ==> INAT_11" " 892894 #CONF: 0.9061050110612734"
"GARL_1 ==> SANI_2" " 963323 #CONF: 0.9775760589393355"
"GARL_2 ==> SANI_2" " 436924 #CONF: 0.952165518203254"
"NA38_ZZ ==> INAT_11" " 772824 #CONF: 0.8699945627028433"
"NBPI_4 ==> INAT_11" " 317893 #CONF: 0.8600512416772856"
"NBPI_5 ==> INAT_11" " 313940 #CONF: 0.8994255754988612"
"NPERR_2 ==> INAT_11" " 384555 #CONF: 0.8940602898712459"
"SANI_2 ==> INAT_11" " 1234826 #CONF: 0.881862985601826"
"INAT_11 ==> SANI_2" " 1234826 #CONF: 0.9547006108625448"
"SEXE_1 ==> INAT_11" " 626612 #CONF: 0.8765373381528442"
"SEXE_2 ==> INAT_11" " 666805 #CONF: 0.8777364888434316"
"STOCD_10 ==> INAT_11" " 732594 #CONF: 0.9179892787597645"
"SURF_5 ==> INAT_11" " 319649 #CONF: 0.8772311627294282"
"TACT_11 ==> INAT_11" " 520593 #CONF: 0.8880051172707889"
"MODV_32 ==> SANI_2" " 321684 #CONF: 0.9727013232056896"
"NA38_ZZ ==> SANI_2" " 834217 #CONF: 0.9391067747821985"
"TACT_21 ==> NA38_ZZ" " 314239 #CONF: 1.0"
"NBPI_4 ==> SANI_2" " 356532 #CONF: 0.9645880510035956"
"NBPI_5 ==> SANI_2" " 340632 #CONF: 0.9758970906330129"
"NPERR_2 ==> SANI_2" " 419040 #CONF: 0.9742352169849484"
"SEXE_1 ==> SANI_2" " 676919 #CONF: 0.946909376783536"
"SEXE_2 ==> SANI_2" " 723328 #CONF: 0.9521394995570545"
"STOCD_10 ==> SANI_2" " 780912 #CONF: 0.9785349643251859"
"STOCD_21 ==> SANI_2" " 304802 #CONF: 0.9655410542321338"
"SURF_5 ==> SANI_2" " 352965 #CONF: 0.9686621805567752"
"SURF_7 ==> SANI_2" " 307795 #CONF: 0.9871520617316815"
"TACT_11 ==> SANI_2" " 566030 #CONF: 0.9655095948827292"
"ASCEN_2 CMBL_2 ==> CATL_1" " 548828 #CONF: 1.0"
"CATL_1 COUPLE_1 ==> ASCEN_2" " 603338 #CONF: 0.8730300903651504"
"ASCEN_2 COUPLE_1 ==> CATL_1" " 603338 #CONF: 1.0"
"COUPLE_1 ==> ASCEN_2 CATL_1" " 603338 #CONF: 0.8685008687340666"
"ASCEN_2 COUPLE_2 ==> CATL_1" " 600503 #CONF: 1.0"
"ASCEN_2 CS1_8 ==> CATL_1" " 382805 #CONF: 1.0"
"ASCEN_2 DIPL_15_A ==> CATL_1" " 317976 #CONF: 1.0"
