itemset support
"ASCEN_2 ==> CATL_1" " 1203841 #CONF: 1.0"
"ASCEN_2 ==> SANI_2" " 1169411 #CONF: 0.9713998775585813"
"CMBL_2 ==> CATL_1" " 667604 #CONF: 1.0"
"COUPLE_1 ==> CATL_1" " 691085 #CONF: 0.9948120669824915"
"COUPLE_2 ==> CATL_1" " 753209 #CONF: 0.9658135330247349"
"CS1_8 ==> CATL_1" " 469298 #CONF: 0.9726947885058614"
"GARL_1 ==> CATL_1" " 985420 #CONF: 1.0"
"GARL_2 ==> CATL_1" " 458874 #CONF: 1.0"
"INAT_11 ==> CATL_1" " 1267347 #CONF: 0.9798440874056858"
"NA38_ZZ ==> CATL_1" " 863546 #CONF: 0.9721234390285363"
"SANI_2 ==> CATL_1" " 1400247 #CONF: 1.0"
"CATL_1 ==> SANI_2" " 1400247 #CONF: 0.9695027466706917"
"SEXE_1 ==> CATL_1" " 699291 #CONF: 0.9782044897548092"
"SEXE_2 ==> CATL_1" " 745003 #CONF: 0.9806709868669596"
"STOCD_10 ==> CATL_1" " 798042 #CONF: 1.0"
"TACT_11 ==> CATL_1" " 580748 #CONF: 0.9906149253731343"
"CMBL_2 ==> SANI_2" " 647846 #CONF: 0.9704046111167698"
"COUPLE_1 ==> SANI_2" " 673290 #CONF: 0.9691962878352759"
"CS1_8 ==> NA38_ZZ" " 482472 #CONF: 1.0"
"GARL_1 ==> SANI_2" " 963323 #CONF: 0.9775760589393355"
"INAT_11 ==> SANI_2" " 1234826 #CONF: 0.9547006108625448"
"SEXE_2 ==> SANI_2" " 723328 #CONF: 0.9521394995570545"
"STOCD_10 ==> SANI_2" " 780912 #CONF: 0.9785349643251859"
"TACT_11 ==> SANI_2" " 566030 #CONF: 0.9655095948827292"
"ASCEN_2 CMBL_2 ==> CATL_1" " 548828 #CONF: 1.0"
"ASCEN_2 COUPLE_1 ==> CATL_1" " 603338 #CONF: 1.0"
"ASCEN_2 COUPLE_2 ==> CATL_1" " 600503 #CONF: 1.0"
"ASCEN_2 GARL_1 ==> CATL_1" " 857302 #CONF: 1.0"
"ASCEN_2 INAT_11 ==> CATL_1" " 1075859 #CONF: 1.0"
"ASCEN_2 NA38_ZZ ==> CATL_1" " 710636 #CONF: 1.0"
"ASCEN_2 SANI_2 ==> CATL_1" " 1169411 #CONF: 1.0"
"ASCEN_2 CATL_1 ==> SANI_2" " 1169411 #CONF: 0.9713998775585813"
"ASCEN_2 ==> CATL_1 SANI_2" " 1169411 #CONF: 0.9713998775585813"
"ASCEN_2 SEXE_1 ==> CATL_1" " 588697 #CONF: 1.0"
"ASCEN_2 SEXE_2 ==> CATL_1" " 615144 #CONF: 1.0"
"ASCEN_2 STOCD_10 ==> CATL_1" " 743455 #CONF: 1.0"
"ASCEN_2 TACT_11 ==> CATL_1" " 493205 #CONF: 1.0"
"ASCEN_2 CMBL_2 ==> SANI_2" " 533149 #CONF: 0.9714318511446209"
"ASCEN_2 COUPLE_1 ==> SANI_2" " 588946 #CONF: 0.9761460408593524"
"ASCEN_2 COUPLE_2 ==> SANI_2" " 580465 #CONF: 0.9666313074206124"
"ASCEN_2 GARL_1 ==> SANI_2" " 839142 #CONF: 0.9788172662608976"
"ASCEN_2 INAT_11 ==> SANI_2" " 1049023 #CONF: 0.9750562108975247"
"ASCEN_2 NA38_ZZ ==> SANI_2" " 687995 #CONF: 0.9681398071586579"
"ASCEN_2 SEXE_1 ==> SANI_2" " 571118 #CONF: 0.970139137790748"
"ASCEN_2 SEXE_2 ==> SANI_2" " 598293 #CONF: 0.9726064141079162"
"ASCEN_2 STOCD_10 ==> SANI_2" " 727729 #CONF: 0.9788474083838296"
"ASCEN_2 TACT_11 ==> SANI_2" " 481416 #CONF: 0.9760971604099715"
"CMBL_2 INAT_11 ==> CATL_1" " 575560 #CONF: 1.0"
"CMBL_2 SANI_2 ==> CATL_1" " 647846 #CONF: 1.0"
"CATL_1 CMBL_2 ==> SANI_2" " 647846 #CONF: 0.9704046111167698"
"CMBL_2 ==> CATL_1 SANI_2" " 647846 #CONF: 0.9704046111167698"
"COUPLE_1 GARL_1 ==> CATL_1" " 526238 #CONF: 1.0"
"COUPLE_1 INAT_11 ==> CATL_1" " 588430 #CONF: 0.9947913056561923"
"COUPLE_1 SANI_2 ==> CATL_1" " 673290 #CONF: 1.0"
"CATL_1 COUPLE_1 ==> SANI_2" " 673290 #CONF: 0.9742506348712532"
"COUPLE_1 ==> CATL_1 SANI_2" " 673290 #CONF: 0.9691962878352759"
"COUPLE_1 STOCD_10 ==> CATL_1" " 455872 #CONF: 1.0"
"COUPLE_2 GARL_1 ==> CATL_1" " 459182 #CONF: 1.0"
"COUPLE_2 INAT_11 ==> CATL_1" " 678917 #CONF: 0.9672477511233698"
"COUPLE_2 NA38_ZZ ==> CATL_1" " 562354 #CONF: 0.961722897170689"
"COUPLE_2 SANI_2 ==> CATL_1" " 726957 #CONF: 1.0"
"CATL_1 COUPLE_2 ==> SANI_2" " 726957 #CONF: 0.9651464600130907"
"CS1_8 NA38_ZZ ==> CATL_1" " 469298 #CONF: 0.9726947885058614"
"CATL_1 CS1_8 ==> NA38_ZZ" " 469298 #CONF: 1.0"
"CS1_8 ==> CATL_1 NA38_ZZ" " 469298 #CONF: 0.9726947885058614"
"CS1_8 SANI_2 ==> CATL_1" " 452550 #CONF: 1.0"
"CATL_1 CS1_8 ==> SANI_2" " 452550 #CONF: 0.9643126542197069"
