itemset support
"CATL_1 ==> ASCEN_2" " 1203841 #CONF: 0.8335151984291287"
"ASCEN_2 ==> CATL_1" " 1203841 #CONF: 1.0"
"GARL_1 ==> ASCEN_2" " 857302 #CONF: 0.8699864017373303"
"ASCEN_2 ==> GARL_1" " 857302 #CONF: 0.7121388954189133"
"INAT_11 ==> ASCEN_2" " 1075859 #CONF: 0.831795932788884"
"ASCEN_2 ==> INAT_11" " 1075859 #CONF: 0.8936886183474396"
"SANI_2 ==> ASCEN_2" " 1169411 #CONF: 0.8351462277726716"
"ASCEN_2 ==> SANI_2" " 1169411 #CONF: 0.9713998775585813"
"STOCD_10 ==> ASCEN_2" " 743455 #CONF: 0.9315988381563878"
"ASCEN_2 ==> STOCD_10" " 743455 #CONF: 0.6175690975801622"
"COUPLE_2 ==> CATL_1" " 753209 #CONF: 0.9658135330247349"
"CATL_1 ==> COUPLE_2" " 753209 #CONF: 0.5215067015441455"
"GARL_1 ==> CATL_1" " 985420 #CONF: 1.0"
"CATL_1 ==> GARL_1" " 985420 #CONF: 0.6822849087512654"
"INAT_11 ==> CATL_1" " 1267347 #CONF: 0.9798440874056858"
"CATL_1 ==> INAT_11" " 1267347 #CONF: 0.8774854704097642"
"NA38_ZZ ==> CATL_1" " 863546 #CONF: 0.9721234390285363"
"CATL_1 ==> NA38_ZZ" " 863546 #CONF: 0.5979018122349051"
"SANI_2 ==> CATL_1" " 1400247 #CONF: 1.0"
"CATL_1 ==> SANI_2" " 1400247 #CONF: 0.9695027466706917"
"SEXE_2 ==> CATL_1" " 745003 #CONF: 0.9806709868669596"
"CATL_1 ==> SEXE_2" " 745003 #CONF: 0.5158250328534218"
"STOCD_10 ==> CATL_1" " 798042 #CONF: 1.0"
"CATL_1 ==> STOCD_10" " 798042 #CONF: 0.5525481654012272"
"INAT_11 ==> GARL_1" " 892894 #CONF: 0.6903373003447457"
"GARL_1 ==> INAT_11" " 892894 #CONF: 0.9061050110612734"
"SANI_2 ==> GARL_1" " 963323 #CONF: 0.6879664801995647"
"GARL_1 ==> SANI_2" " 963323 #CONF: 0.9775760589393355"
"NA38_ZZ ==> INAT_11" " 772824 #CONF: 0.8699945627028433"
"INAT_11 ==> NA38_ZZ" " 772824 #CONF: 0.5975056768234839"
