itemset support
"CATL_1 ==> ASCEN_2" " 1203841 #CONF: 0.8335151984291287"
"ASCEN_2 ==> CATL_1" " 1203841 #CONF: 1.0"
"CMBL_2 ==> ASCEN_2" " 548828 #CONF: 0.8220861468774903"
"COUPLE_1 ==> ASCEN_2" " 603338 #CONF: 0.8685008687340666"
"ASCEN_2 ==> COUPLE_1" " 603338 #CONF: 0.5011774810793119"
"COUPLE_2 ==> ASCEN_2" " 600503 #CONF: 0.770003975021478"
"GARL_1 ==> ASCEN_2" " 857302 #CONF: 0.8699864017373303"
"ASCEN_2 ==> GARL_1" " 857302 #CONF: 0.7121388954189133"
"INAT_11 ==> ASCEN_2" " 1075859 #CONF: 0.831795932788884"
"ASCEN_2 ==> INAT_11" " 1075859 #CONF: 0.8936886183474396"
"NA38_ZZ ==> ASCEN_2" " 710636 #CONF: 0.799987391774709"
"ASCEN_2 ==> NA38_ZZ" " 710636 #CONF: 0.5903071917304694"
"SANI_2 ==> ASCEN_2" " 1169411 #CONF: 0.8351462277726716"
"ASCEN_2 ==> SANI_2" " 1169411 #CONF: 0.9713998775585813"
"SEXE_1 ==> ASCEN_2" " 588697 #CONF: 0.8234998713056323"
"SEXE_2 ==> ASCEN_2" " 615144 #CONF: 0.8097334823420699"
"ASCEN_2 ==> SEXE_2" " 615144 #CONF: 0.5109844240227738"
"STOCD_10 ==> ASCEN_2" " 743455 #CONF: 0.9315988381563878"
"ASCEN_2 ==> STOCD_10" " 743455 #CONF: 0.6175690975801622"
"TACT_11 ==> ASCEN_2" " 493205 #CONF: 0.8412878464818764"
"CMBL_2 ==> CATL_1" " 667604 #CONF: 1.0"
"COUPLE_1 ==> CATL_1" " 691085 #CONF: 0.9948120669824915"
"COUPLE_2 ==> CATL_1" " 753209 #CONF: 0.9658135330247349"
"CATL_1 ==> COUPLE_2" " 753209 #CONF: 0.5215067015441455"
"CS1_8 ==> CATL_1" " 469298 #CONF: 0.9726947885058614"
"GARL_1 ==> CATL_1" " 985420 #CONF: 1.0"
"CATL_1 ==> GARL_1" " 985420 #CONF: 0.6822849087512654"
"GARL_2 ==> CATL_1" " 458874 #CONF: 1.0"
"INAT_11 ==> CATL_1" " 1267347 #CONF: 0.9798440874056858"
