itemset support
"ASCEN_1 ==> CATL_1" " 240453 #CONF: 1.0"
"ASCEN_2 ==> CATL_1" " 1203841 #CONF: 1.0"
"CMBL_2 ==> CATL_1" " 667604 #CONF: 1.0"
"CMBL_3 ==> CATL_1" " 184002 #CONF: 1.0"
"CMBL_4 ==> CATL_1" " 278231 #CONF: 1.0"
"CMBL_6 ==> CATL_1" " 208474 #CONF: 1.0"
"GARL_1 ==> CATL_1" " 985420 #CONF: 1.0"
"GARL_2 ==> CATL_1" " 458874 #CONF: 1.0"
"MODV_11 ==> CATL_1" " 302517 #CONF: 1.0"
"MODV_32 ==> CATL_1" " 330712 #CONF: 1.0"
"MODV_40 ==> CATL_1" " 278368 #CONF: 1.0"
"MODV_50 ==> CATL_1" " 177051 #CONF: 1.0"
"NBPI_3 ==> CATL_1" " 260481 #CONF: 1.0"
"NBPI_4 ==> CATL_1" " 369621 #CONF: 1.0"
"NBPI_5 ==> CATL_1" " 349045 #CONF: 1.0"
"NBPI_6 ==> CATL_1" " 180193 #CONF: 1.0"
"NPERR_1 ==> CATL_1" " 259113 #CONF: 1.0"
"NPERR_2 ==> CATL_1" " 430122 #CONF: 1.0"
"NPERR_3 ==> CATL_1" " 273654 #CONF: 1.0"
"NPERR_4 ==> CATL_1" " 282368 #CONF: 1.0"
"SANI_2 ==> CATL_1" " 1400247 #CONF: 1.0"
"STOCD_10 ==> CATL_1" " 798042 #CONF: 1.0"
"STOCD_21 ==> CATL_1" " 315680 #CONF: 1.0"
"STOCD_22 ==> CATL_1" " 275480 #CONF: 1.0"
"SURF_4 ==> CATL_1" " 293805 #CONF: 1.0"
"SURF_5 ==> CATL_1" " 364384 #CONF: 1.0"
"SURF_6 ==> CATL_1" " 270393 #CONF: 1.0"
"SURF_7 ==> CATL_1" " 311801 #CONF: 1.0"
"DIPL_15_Z ==> COUPLE_2" " 242023 #CONF: 1.0"
"TACT_23 ==> COUPLE_2" " 242023 #CONF: 1.0"
"CS1_7 ==> NA38_ZZ" " 312145 #CONF: 1.0"
"CS1_7 ==> TACT_21" " 312145 #CONF: 1.0"
"DIPL_15_Z ==> CS1_8" " 242023 #CONF: 1.0"
"CS1_8 ==> NA38_ZZ" " 482472 #CONF: 1.0"
"TACT_23 ==> CS1_8" " 242023 #CONF: 1.0"
"DIPL_15_Z ==> NA38_ZZ" " 242023 #CONF: 1.0"
"TACT_23 ==> DIPL_15_Z" " 242023 #CONF: 1.0"
"DIPL_15_Z ==> TACT_23" " 242023 #CONF: 1.0"
"MODV_50 ==> NPERR_1" " 177051 #CONF: 1.0"
"TACT_21 ==> NA38_ZZ" " 314239 #CONF: 1.0"
"TACT_23 ==> NA38_ZZ" " 242023 #CONF: 1.0"
"AGER20_39 ASCEN_2 ==> CATL_1" " 148356 #CONF: 1.0"
"AGER20_39 SANI_2 ==> CATL_1" " 176535 #CONF: 1.0"
"AGER20_54 ASCEN_2 ==> CATL_1" " 250815 #CONF: 1.0"
"AGER20_54 GARL_1 ==> CATL_1" " 205433 #CONF: 1.0"
"AGER20_54 MODV_32 ==> CATL_1" " 149859 #CONF: 1.0"
"AGER20_54 SANI_2 ==> CATL_1" " 279411 #CONF: 1.0"
"AGER20_54 STOCD_10 ==> CATL_1" " 174956 #CONF: 1.0"
"AGER20_64 ASCEN_2 ==> CATL_1" " 160506 #CONF: 1.0"
"AGER20_64 SANI_2 ==> CATL_1" " 179577 #CONF: 1.0"
"AGER20_79 ASCEN_2 ==> CATL_1" " 153562 #CONF: 1.0"
"AGER20_79 SANI_2 ==> CATL_1" " 176436 #CONF: 1.0"
"AGER20_79 CS1_7 ==> NA38_ZZ" " 169759 #CONF: 1.0"
"AGER20_79 CS1_7 ==> TACT_21" " 169759 #CONF: 1.0"
"AGER20_79 TACT_21 ==> NA38_ZZ" " 170689 #CONF: 1.0"
"ASCEN_1 COUPLE_2 ==> CATL_1" " 152706 #CONF: 1.0"
"ASCEN_1 INAT_11 ==> CATL_1" " 191488 #CONF: 1.0"
"ASCEN_1 NA38_ZZ ==> CATL_1" " 152910 #CONF: 1.0"
"ASCEN_1 SANI_2 ==> CATL_1" " 230836 #CONF: 1.0"
"ASCEN_2 CMBL_2 ==> CATL_1" " 548828 #CONF: 1.0"
"ASCEN_2 CMBL_3 ==> CATL_1" " 174903 #CONF: 1.0"
"ASCEN_2 CMBL_4 ==> CATL_1" " 229977 #CONF: 1.0"
"ASCEN_2 CMBL_6 ==> CATL_1" " 201784 #CONF: 1.0"
"ASCEN_2 COUPLE_1 ==> CATL_1" " 603338 #CONF: 1.0"
"ASCEN_2 COUPLE_2 ==> CATL_1" " 600503 #CONF: 1.0"
"ASCEN_2 CS1_5 ==> CATL_1" " 166532 #CONF: 1.0"
"ASCEN_2 CS1_6 ==> CATL_1" " 153002 #CONF: 1.0"
"ASCEN_2 CS1_7 ==> CATL_1" " 254625 #CONF: 1.0"
"ASCEN_2 CS1_8 ==> CATL_1" " 382805 #CONF: 1.0"
"ASCEN_2 DIPL_15_A ==> CATL_1" " 317976 #CONF: 1.0"
"ASCEN_2 DIPL_15_B ==> CATL_1" " 268252 #CONF: 1.0"
"ASCEN_2 DIPL_15_C ==> CATL_1" " 172589 #CONF: 1.0"
"ASCEN_2 DIPL_15_D ==> CATL_1" " 242003 #CONF: 1.0"
"ASCEN_2 DIPL_15_Z ==> CATL_1" " 203021 #CONF: 1.0"
"ASCEN_2 GARL_1 ==> CATL_1" " 857302 #CONF: 1.0"
"ASCEN_2 GARL_2 ==> CATL_1" " 346539 #CONF: 1.0"
"ASCEN_2 INAT_11 ==> CATL_1" " 1075859 #CONF: 1.0"
"ASCEN_2 MODV_11 ==> CATL_1" " 266390 #CONF: 1.0"
"ASCEN_2 MODV_32 ==> CATL_1" " 292788 #CONF: 1.0"
"ASCEN_2 MODV_40 ==> CATL_1" " 249522 #CONF: 1.0"
"ASCEN_2 NA38_ZZ ==> CATL_1" " 710636 #CONF: 1.0"
"ASCEN_2 NBPI_3 ==> CATL_1" " 186674 #CONF: 1.0"
"ASCEN_2 NBPI_4 ==> CATL_1" " 304397 #CONF: 1.0"
"ASCEN_2 NBPI_5 ==> CATL_1" " 321517 #CONF: 1.0"
"ASCEN_2 NBPI_6 ==> CATL_1" " 175269 #CONF: 1.0"
"ASCEN_2 NPERR_1 ==> CATL_1" " 181649 #CONF: 1.0"
