itemset support
"CATL_1 ==> ASCEN_2" " 1203841 #CONF: 0.8335151984291287"
"ASCEN_2 ==> CATL_1" " 1203841 #CONF: 1.0"
"CMBL_2 ==> ASCEN_2" " 548828 #CONF: 0.8220861468774903"
"COUPLE_1 ==> ASCEN_2" " 603338 #CONF: 0.8685008687340666"
"GARL_1 ==> ASCEN_2" " 857302 #CONF: 0.8699864017373303"
"INAT_11 ==> ASCEN_2" " 1075859 #CONF: 0.831795932788884"
"ASCEN_2 ==> INAT_11" " 1075859 #CONF: 0.8936886183474396"
"SANI_2 ==> ASCEN_2" " 1169411 #CONF: 0.8351462277726716"
"ASCEN_2 ==> SANI_2" " 1169411 #CONF: 0.9713998775585813"
"SEXE_1 ==> ASCEN_2" " 588697 #CONF: 0.8234998713056323"
"SEXE_2 ==> ASCEN_2" " 615144 #CONF: 0.8097334823420699"
"STOCD_10 ==> ASCEN_2" " 743455 #CONF: 0.9315988381563878"
"TACT_11 ==> ASCEN_2" " 493205 #CONF: 0.8412878464818764"
"CMBL_2 ==> CATL_1" " 667604 #CONF: 1.0"
"COUPLE_1 ==> CATL_1" " 691085 #CONF: 0.9948120669824915"
"COUPLE_2 ==> CATL_1" " 753209 #CONF: 0.9658135330247349"
"CS1_8 ==> CATL_1" " 469298 #CONF: 0.9726947885058614"
"GARL_1 ==> CATL_1" " 985420 #CONF: 1.0"
"GARL_2 ==> CATL_1" " 458874 #CONF: 1.0"
"INAT_11 ==> CATL_1" " 1267347 #CONF: 0.9798440874056858"
"CATL_1 ==> INAT_11" " 1267347 #CONF: 0.8774854704097642"
"NA38_ZZ ==> CATL_1" " 863546 #CONF: 0.9721234390285363"
"SANI_2 ==> CATL_1" " 1400247 #CONF: 1.0"
"CATL_1 ==> SANI_2" " 1400247 #CONF: 0.9695027466706917"
"SEXE_1 ==> CATL_1" " 699291 #CONF: 0.9782044897548092"
"SEXE_2 ==> CATL_1" " 745003 #CONF: 0.9806709868669596"
"STOCD_10 ==> CATL_1" " 798042 #CONF: 1.0"
"TACT_11 ==> CATL_1" " 580748 #CONF: 0.9906149253731343"
"CMBL_2 ==> INAT_11" " 575560 #CONF: 0.862127848245367"
"CMBL_2 ==> SANI_2" " 647846 #CONF: 0.9704046111167698"
